# function	arguments	status	result and side effects
dot_doctor_section	LABEL	0 recorded; 1 unavailable channel; 2 invalid arguments	records a section heading
dot_doctor_ok	LABEL [DETAIL]	0 recorded; 1 unavailable channel; 2 invalid arguments	records a passing check
dot_doctor_warn	LABEL [DETAIL]	0 recorded; 1 unavailable channel; 2 invalid arguments	records a warning check
dot_doctor_fail	LABEL [DETAIL]	0 recorded; 1 unavailable channel; 2 invalid arguments	records a failing check
dot_doctor_skip	LABEL [DETAIL]	0 recorded; 1 unavailable channel; 2 invalid arguments	records a skipped check
dot_doctor_display_path	PATH	0 success; 2 invalid arguments	prints PATH with HOME abbreviated for display
dot_doctor_source	RELATIVE_PATH	0 sourced; 1 unsafe or unavailable; 2 invalid arguments	sources one validated client support module in the current isolated worker
